site_id,country,site_name,priority,pi_name,contact_route,status,first_contacted,last_contacted,response_status,data_shared,agreement,followup_due,owner,notes
CO-GV2,Colombia,Guatavita Station 2,P1,Juan C. Benavides,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/CO-GV2) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
EC-Zhu,Ecuador,Zhurucay paramo,P1,Carrillo-Rojas-Crespo,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
PE-IGP,Peru,Huancayo Geophysical Observatory (IGP),P1,Jose Flores-Rojas,AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/PE-IGP) → contacto del PI; cc datasupport@ameriflux.lbl.gov,pendiente,,,,,,,,
PE-TNR,Peru,Tambopata ECOTOWER,P1,Cosio,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
AR-RioMayo,Argentina,Rio Mayo Patagonian steppe,P2,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
BR-ATTO,Brazil,Amazon Tall Tower Observatory,P2,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
CO-Potato,Colombia,Subachoque high-Andean potato,P2,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
EC-Laipuna,Ecuador,Laipuna dry forest,P2,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
EC-SanFrancisco,Ecuador,RBSF / ECSF montane cloud forest,P2,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
GF-Nouragues,French Guiana,Nouragues (Nourflux),P2,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
CL-AcaciaSav,Chile,Central Chile Acacia caven savanna,P3,Perez-Quezada,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
CO-Cenipalma,Colombia,Cenipalma/CIAT oil palm,P3,,Solicitud formal al consorcio/empresa con acuerdo de uso de datos,pendiente,,,,,,,,
CO-EcoProMIS,Colombia,EcoProMIS rice & oil-palm towers (x4),P3,,Solicitud formal al consorcio/empresa con acuerdo de uso de datos,pendiente,,,,,,,,
EC-Antisana,Ecuador,Antisana FTEC,P3,,Contacto al operador institucional que mantiene la torre,pendiente,,,,,,,,
PE-AMG,Peru,Los Amigos (CICRA),P3,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
PE-BRE,Peru,El Breo,P3,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
PE-PAN,Peru,Panguana,P3,,Email al PI / autor de correspondencia vía institución (ver source_url),pendiente,,,,,,,,
