site_id,country,site_name,biome,network,availability_tier,priority,institution,pi_name,pi_known,institution_pi_raw,data_access,contact_route,request_scope,source_url
BR-SP1,Brazil,Southern Pantanal Wetland,Wetland / flooded savanna,AmeriFlux,2,P1,Universidade Federal de Mato Grosso do Sul,Thiago Rangel Rodrigues,yes,Universidade Federal de Mato Grosso do Sul / Thiago Rangel Rodrigues,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/BR-SP1) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2023–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/BR-SP1
CL-FJS,Chile,Fray Jorge shrubland,Open shrubland (semi-arid),AmeriFlux,2,P1,University of La Serena,Alejandra Troncoso,yes,University of La Serena / Alejandra Troncoso,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/CL-FJS) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2022–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/CL-FJS
CL-OPP,Chile,Omora Park Peatland (Cape Horn),Wetland (sub-Antarctic peatland),AmeriFlux,2,P1,University of Chile,Jorge Perez-Quezada,yes,University of Chile / Jorge Perez-Quezada,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/CL-OPP) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2022–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/CL-OPP
CL-Poqui,Chile,Cerro Poqui (Nothofagus mediterranean),Mediterranean deciduous forest,none,2,P1,U. de Chile,Perez-Quezada,yes,U. de Chile / Perez-Quezada,Request to PI (new; metadata pending),Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2024–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://fluxnet.org/2026/02/10/exploring-the-diverse-ecosystems-of-chile-katie-bosserts-fluxnet-secondment-experience/
CO-Carimagua,Colombia,Carimagua/Taluma Orinoco savanna,Neotropical savanna,none,2,P1,UNAL,Jimenez,yes,UNAL / Jimenez + AGROSAVIA,Published (Frontiers 2021); request,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario); metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2021.673932/full
CO-GV2,Colombia,Guatavita Station 2,Wetland (high-Andean),AmeriFlux,2,P1,Pontificia Universidad Javeriana,Juan C. Benavides,yes,Pontificia Universidad Javeriana / Juan C. Benavides,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/CO-GV2) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2023–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/CO-GV2
EC-Zhu,Ecuador,Zhurucay paramo,Paramo grassland/wetland,none,2,P1,U. de Cuenca,Carrillo-Rojas-Crespo,yes,U. de Cuenca / Carrillo-Rojas-Crespo,Request to PI; published,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2015–2018; metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.sciencedirect.com/science/article/abs/pii/S0168192318303526
PE-IGP,Peru,Huancayo Geophysical Observatory (IGP),Grassland (high-Andean),AmeriFlux,2,P1,Instituto Geofísico del Perú,Jose Flores-Rojas,yes,Instituto Geofísico del Perú / Jose Flores-Rojas,AmeriFlux registered; no open BASE/FLUXNET product yet (request PI),AmeriFlux Team page del sitio (ameriflux.lbl.gov/sites/siteinfo/PE-IGP) → contacto del PI; cc datasupport@ameriflux.lbl.gov,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2025–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/PE-IGP
PE-TNR,Peru,Tambopata ECOTOWER,Tropical forest,AndesFlux,2,P1,PUCP,Cosio,yes,PUCP / Cosio + Penn State,Registered AmeriFlux; data on request,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2016–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/PE-TNR
AR-RioMayo,Argentina,Rio Mayo Patagonian steppe,Shrub-grass steppe,none,2,P2,INTA Rio Mayo,,no,INTA Rio Mayo,Request to PI (literature only),Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2015–2018; metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.sciencedirect.com/science/article/abs/pii/S0168192324002971
BR-ATTO,Brazil,Amazon Tall Tower Observatory,Evergreen Broadleaf Forest,none,2,P2,INPA + MPI-BGC,,no,INPA + MPI-BGC,ATTO data portal (registration/request),Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2012–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.attoproject.org/about-atto/location/
CO-Potato,Colombia,Subachoque high-Andean potato,High-Andean cropland,none,2,P2,UNAL,,no,UNAL,Published; request,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2022–2024; metadatos BADM; términos de co-autoría/cita según política del sitio,https://link.springer.com/article/10.1007/s00704-024-05034-1
EC-Laipuna,Ecuador,Laipuna dry forest,Seasonally dry Tumbesian forest,none,2,P2,U. Marburg + Ecuadorian universities,,no,U. Marburg + Ecuadorian universities,Request to PI; EGU abstracts,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2022–2025; metadatos BADM; términos de co-autoría/cita según política del sitio,https://meetingorganizer.copernicus.org/EGU25/EGU25-14652.html
EC-SanFrancisco,Ecuador,RBSF / ECSF montane cloud forest,Montane cloud forest,none,2,P2,U. de Cuenca + U. Marburg,,no,U. de Cuenca + U. Marburg,Request to PI; published,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2024–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://doi.org/10.3390/f15101828
GF-Nouragues,French Guiana,Nouragues (Nourflux),Tropical rainforest,none,2,P2,INRAE / EcoFoG,,no,INRAE / EcoFoG,Published; request,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2014–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://sno-ifa.aeris-data.fr/en/guy/
CL-AcaciaSav,Chile,Central Chile Acacia caven savanna,Mediterranean savanna,none,3,P3,U. de Chile,Perez-Quezada,yes,U. de Chile / Perez-Quezada,Request to authors (historic),Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2011–2012; metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.nature.com/articles/s41598-018-26934-z
CO-Cenipalma,Colombia,Cenipalma/CIAT oil palm,Oil palm,none,3,P3,Cenipalma + CIAT,,no,Cenipalma + CIAT,Proprietary (request),Solicitud formal al consorcio/empresa con acuerdo de uso de datos,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2013–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.researchgate.net/publication/340846647
CO-EcoProMIS,Colombia,EcoProMIS rice & oil-palm towers (x4),Cropland (rice) / oil palm,none,3,P3,Rothamsted + Agricompas + CIAT,,no,Rothamsted + Agricompas + CIAT,Proprietary (request consortium),Solicitud formal al consorcio/empresa con acuerdo de uso de datos,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2017–2020; metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.ecopromis.com/why-the-eddy-covariance-technique-is-an-ally-in-the-search-of-sustainable-agriculture/
EC-Antisana,Ecuador,Antisana FTEC,High paramo,none,3,P3,EPN + EPMAPS/FONAG,,no,EPN + EPMAPS/FONAG,Request to operator,Contacto al operador institucional que mantiene la torre,NEE/GPP/Reco nivel-2 (half-hourly o diario) 2019–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ecap.org.ec/medicion-de-flujos-de-energia-co2-y-vapor-agua-en-antisana/
PE-AMG,Peru,Los Amigos (CICRA),Amazon forest mosaic,AndesFlux,3,P3,PUCP,,no,PUCP,Registered AmeriFlux; data on request,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2021–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://ameriflux.lbl.gov/sites/siteinfo/PE-AMG
PE-BRE,Peru,El Breo,Conservation-concession forest,AndesFlux,3,P3,PUCP,,no,PUCP,Request to PI,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2023–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://inte.pucp.edu.pe/en/investigacion/proyectos-de-investigacion/andesflux-red-de-torres-de-monitoreo-de-flujos-de-carbono-agua-y-energia-en-la-amazonia-occidental/
PE-PAN,Peru,Panguana,Lowland rainforest,AndesFlux,3,P3,PUCP / BayCEER,,no,PUCP / BayCEER,Request to PI,Email al PI / autor de correspondencia vía institución (ver source_url),NEE/GPP/Reco nivel-2 (half-hourly o diario) 2023–presente; metadatos BADM; términos de co-autoría/cita según política del sitio,https://www.bayceer.uni-bayreuth.de/meteo/en/aktuelles/news/detail.php?id_obj=173776
